epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.485,1.67723,2.664,1.68233,0.48123,0.87364,0.56764,0.35463,1.31339,1.62336,1.14468,0.000411325,0.000411325,0.000411325
2,248.561,1.2261,1.47011,1.23433,0.49342,0.98316,0.61097,0.41029,1.1223,1.50008,1.11821,0.000811597,0.000811597,0.000811597
3,370.228,1.17187,1.37362,1.20484,0.49326,0.99286,0.58055,0.39624,1.09883,1.3038,1.15236,0.00119537,0.00119537,0.00119537
4,496.352,1.14167,1.31039,1.17395,0.50076,1,0.54277,0.38666,1.03195,1.23058,1.07103,0.00117575,0.00117575,0.00117575
5,636.71,1.09369,1.24613,1.16127,0.49891,1,0.56931,0.40555,1.02839,1.18678,1.12481,0.001151,0.001151,0.001151
6,778.002,1.08993,1.1841,1.15387,0.56872,0.72143,0.58988,0.4287,0.99891,1.07452,1.08343,0.00112625,0.00112625,0.00112625
7,926.897,1.05666,1.13267,1.14156,0.67496,0.9431,0.78794,0.55874,1.01994,1.04701,1.1736,0.0011015,0.0011015,0.0011015
8,1089.35,1.05979,1.10089,1.14341,0.61612,0.72857,0.58792,0.42182,1.00941,1.0901,1.16774,0.00107675,0.00107675,0.00107675
9,1255.71,1.04031,1.04087,1.13018,0.9163,0.71274,0.72067,0.50946,0.99738,0.74448,1.15582,0.001052,0.001052,0.001052
10,1427.29,1.05761,0.99265,1.15081,0.64386,0.49286,0.47146,0.34046,1.00353,0.92317,1.1233,0.00102725,0.00102725,0.00102725
11,1610.05,1.01416,0.9162,1.13379,0.86801,0.66191,0.68398,0.4897,0.99089,0.77312,1.14172,0.0010025,0.0010025,0.0010025
12,1802.76,1.0222,0.86948,1.12439,0.9486,0.73596,0.75218,0.54952,0.95803,0.65284,1.08861,0.00097775,0.00097775,0.00097775
13,2005.9,1.00512,0.78139,1.11658,0.98399,0.59543,0.61357,0.44562,0.97531,0.58565,1.1325,0.000953,0.000953,0.000953
14,2224.62,1.02346,0.71569,1.12645,0.65721,0.6365,0.62377,0.4497,0.99861,0.94915,1.11585,0.00092825,0.00092825,0.00092825
15,2496.95,1.00957,0.69375,1.11926,0.90744,0.49131,0.54532,0.39537,1.02005,0.72711,1.1232,0.0009035,0.0009035,0.0009035
16,2785.43,0.99584,0.66157,1.11394,0.99794,0.94286,0.94875,0.69275,1.0094,0.51874,1.15452,0.00087875,0.00087875,0.00087875
17,3108.97,0.99557,0.64727,1.11705,0.96661,0.97953,0.98578,0.7236,0.97954,0.55138,1.10272,0.000854,0.000854,0.000854
18,3372.57,0.98796,0.63865,1.11058,0.9756,0.82875,0.85649,0.63214,0.97626,0.53363,1.1416,0.00082925,0.00082925,0.00082925
19,3685.14,0.9933,0.60128,1.11066,0.73365,0.69271,0.73056,0.5476,0.9475,0.76375,1.11478,0.0008045,0.0008045,0.0008045
20,3967.59,0.9668,0.57401,1.10555,0.99818,0.99917,0.995,0.74034,0.97605,0.48871,1.14872,0.00077975,0.00077975,0.00077975
21,4338.05,0.96885,0.58331,1.10509,0.98045,0.99599,0.99465,0.73578,0.97549,0.51458,1.11163,0.000755,0.000755,0.000755
22,4769.41,0.98587,0.59214,1.11424,0.9679,0.76815,0.80415,0.59907,0.96741,0.52962,1.13401,0.00073025,0.00073025,0.00073025
23,5229.96,0.98585,0.57916,1.10932,0.99244,0.96595,0.99496,0.73124,1.00153,0.54393,1.13218,0.0007055,0.0007055,0.0007055
24,5673.42,0.95346,0.54787,1.1013,0.99698,0.78571,0.81314,0.60655,0.96138,0.45427,1.14282,0.00068075,0.00068075,0.00068075
25,6041.32,0.95619,0.53117,1.09051,0.99225,0.98601,0.9944,0.7454,0.94157,0.49566,1.1187,0.000656,0.000656,0.000656
26,6510.28,0.94876,0.52311,1.08168,0.99809,1,0.995,0.74592,0.96134,0.46541,1.12482,0.00063125,0.00063125,0.00063125
27,6935.51,0.94574,0.51733,1.09009,0.96854,0.98397,0.98474,0.73766,0.94596,0.49064,1.12535,0.0006065,0.0006065,0.0006065
28,7437.88,0.96755,0.52048,1.10483,0.99569,0.91238,0.92744,0.70028,0.93853,0.44303,1.1131,0.00058175,0.00058175,0.00058175
29,7847.65,0.92638,0.50408,1.07626,0.9972,0.68571,0.73152,0.54712,0.96096,0.4372,1.13268,0.000557,0.000557,0.000557
30,8549.94,0.92492,0.49934,1.0865,0.99393,0.41429,0.51266,0.3805,0.98011,0.45229,1.13532,0.00053225,0.00053225,0.00053225
31,9239.3,0.91901,0.48624,1.07334,0.99763,0.6,0.67213,0.50243,0.97761,0.4383,1.13769,0.0005075,0.0005075,0.0005075
32,10046.2,0.91316,0.49365,1.07968,0.99655,0.98078,0.98746,0.7356,0.97194,0.45234,1.12055,0.00048275,0.00048275,0.00048275
33,11013.6,0.9278,0.47981,1.08199,0.9951,0.65714,0.71465,0.53643,0.9455,0.43263,1.13297,0.000458,0.000458,0.000458
34,11914,0.89729,0.48429,1.07138,0.99795,0.8,0.83066,0.61952,0.96274,0.42059,1.1297,0.00043325,0.00043325,0.00043325
35,12888.6,0.88924,0.47444,1.06995,0.99718,0.9,0.91175,0.68253,0.95125,0.42197,1.14149,0.0004085,0.0004085,0.0004085
36,14572.2,0.8892,0.46225,1.06288,0.99809,0.54286,0.62902,0.47355,0.93598,0.40214,1.12396,0.00038375,0.00038375,0.00038375
